canonical_smiles,molregno,synonyms,assay_id,standard_value,standard_type,standard_units
O=C(O)c1ccc(N2C(=O)/C(=C/c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)cc1,1033892,,1804482,8709635.9,IC50,nM
O=C(O)/C(Cc1ccccc1[N+](=O)[O-])=N\Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1,425006,,1804482,2089.3,IC50,nM
CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(=O)c2[nH]1,2335425,,1804482,3467368.5,IC50,nM
CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,275631,,1804482,999684595.59,IC50,nM
C[C@@H](C1CCCCC1)n1c(-c2cc3c(cc2Br)OCO3)nc2cc(C(=O)Nc3ccc(C#N)cc3)ccc21,2260454,,1804482,602.56,IC50,nM
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,12428,Azithromycin,1804482,7762471.17,IC50,nM
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,598444,,1804482,6760.83,IC50,nM
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,444750,Captopril,1804482,389.05,IC50,nM
Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2,2056749,,1804482,4897.79,IC50,nM
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,469763,Clemastine,1804482,2137.96,IC50,nM
Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,418427,,1804482,5370.32,IC50,nM
COc1ccc(-c2sc(NC(=O)C(C)(C)C)nc2C)cc1S(=O)(=O)Nc1ccc(O)cc1,2078366,,1804482,6760.83,IC50,nM
COC1CC/C=C/c2cccc(c2)C(CCNC(=O)OC(C)(C)C)OC(=O)C2CCCN(N2)C(=O)C(C)NC(=O)C(C(C)C)NC(=O)C1C,2341617,,1804482,47863.01,IC50,nM
Cc1noc2c1-c1ccccc1C(c1ccc(Cl)cc1)=NC2CC(N)=O,2257622,,1804482,645.65,IC50,nM
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,336913,,1804482,213.8,IC50,nM
c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,1047410,,1804482,2137.96,IC50,nM
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCCCCCNC(=O)COc1cccc3c1C(=O)N(C1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,2341612,,1804482,3176.87,IC50,nM
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,77456,Dextromethorphan,1804482,7762.47,IC50,nM
Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1,1429542,,1804482,140.28,IC50,nM
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3859,Haloperidol,1804482,40457.59,IC50,nM
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,429737,,1804482,676.08,IC50,nM
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,173,Indomethacin,1804482,17988.71,IC50,nM
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,1282795,,1804482,192.75,IC50,nM
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,230659,Lisinopril,1804482,77.62,IC50,nM
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,110803,Loratadine,1804482,,pIC50,
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,9495,Lovastatin,1804482,1819700.86,IC50,nM
CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,419032,Luminespib,1804482,11220.18,IC50,nM
CN(C)C(=N)NC(=N)N,369464,Metformin,1804482,2864.18,IC50,nM
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,608601,Midostaurin,1804482,336.51,IC50,nM
COc1cccc2c(NCc3ccccc3)nc(-n3c(N)nc4ccccc43)nc12,2056370,,1804482,476.43,IC50,nM
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1,2299061,,1804482,22.92,IC50,nM
N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,7289,,1804482,39810.72,IC50,nM
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,338934,Nitazoxanide,1804482,2818.38,IC50,nM
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,34197,Olanzapine,1804482,18197.01,IC50,nM
CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,686684,Onalespib,1804482,154.88,IC50,nM
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,489525,,1804482,1445439.77,IC50,nM
COc1cccc2c1CCCC2CCCN1CCN(C2CCCCC2)CC1,80081,,1804482,677.64,IC50,nM
CCCN1CCC=C(c2cc(-c3ccc(C)cc3)no2)C1,2228183,,1804482,11455.13,IC50,nM
CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,76984,Pepstatin,1804482,776.25,IC50,nM
O=C(c1ccc(-n2nnc3cccnc32)cc1)N(c1ncccc1Cl)[C@@H]1CCCNC1,2248659,,1804482,7585.78,IC50,nM
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,364141,Pimozide,1804482,91201.08,IC50,nM
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,19737,,1804482,676.08,IC50,nM
CC(C)CC1NC(=O)C(Cc2cn(Cc3ccc(Br)cc3)c3ccccc23)N(C)C(=O)C(CC(C)C)NC(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)NC(=O)C(CCC#N)OC(=O)C(C)N(C)C1=O,2341616,,1804482,199.53,IC50,nM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3666,,1804482,2290.87,IC50,nM
